date,val,tweet,person,country
2017-02-12,0,"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &, YEMEN",Trump,Iraq
2017-02-12,0,#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D,Trump,North Korea
2017-02-12,0,"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &, YEMEN",Trump,Syria
2017-02-13,1,"Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &, business women from Canada🇨🇦and th... https://t.co/wAoCOaYeZ6",Trump,Canada
2017-02-15,0.1,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?,Trump,Russia
2017-02-15,0,This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.,Trump,Russia
2017-02-15,-0.5,"Information is being illegally given to the failing @nytimes &, @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia",Trump,Russia
2017-02-16,-0.6625,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!",Trump,Russia
2017-02-26,-0.375,"Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!",Trump,Russia
2017-03-03,0,"I hear by demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",Trump,Russia
2017-03-03,0,"I hearby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",Trump,Russia
2017-03-03,0,We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite! https://t.co/Ik3yqjHzsA,Trump,Russia
2017-03-03,0,"I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",Trump,Russia
2017-03-03,-0.056818182,"Nick Adams new book, Green Card Warrior, is a must read. The merit-based system is the way to go. Canada, Australia! @foxandfriends",Trump,Canada
2017-03-04,0.125,The first meeting Jeff Sessions had with the Russian Amb was set up by the Obama Administration under education program for 100 Ambs......,Trump,Russia
2017-03-04,0,"Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone.",Trump,Russia
2017-03-05,0.033333333,"""Who was it that secretly said to Russian President, """"Tell Vladimir that after the election I'll have more flexibility?"""" @foxandfriends""",Trump,Russia
2017-03-07,-0.46875,"""For eight years Russia """"ran over"""" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends""",Trump,Russia
2017-03-17,-0.5721875,"""North Korea is behaving very badly. They have been """"playing"""" the United States for years. China has done little to help!""",Trump,China
2017-03-17,-0.5721875,"""North Korea is behaving very badly. They have been """"playing"""" the United States for years. China has done little to help!""",Trump,North Korea
2017-03-18,0.1,"Despite what you have heard from the FAKE NEWS, I had a GREAT meeting with German Chancellor Angela Merkel. Nevertheless, Germany owes.....",Trump,Germany
2017-03-18,-0.004166667,"...vast sums of money to NATO &, the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!",Trump,Germany
2017-03-20,0.35,"What about all of the contact with the Clinton campaign and the Russians? Also, is it true that the DNC would not let the FBI in to look?",Trump,Russia
2017-03-20,-0.2625,"The Democrats made up and pushed the Russian story as an excuse for running a terrible campaign. Big advantage in Electoral College &, lost!",Trump,Russia
2017-03-20,-0.625,James Clapper and others stated that there is no evidence Potus colluded with Russia. This story is FAKE NEWS and everyone knows it!,Trump,Russia
2017-03-23,-0.166666667,Just watched the totally biased and fake news reports of the so-called Russia story on NBC and ABC. Such dishonesty!,Trump,Russia
2017-03-28,0,"Why isn't the House Intelligence Committee looking into the Bill &, Hillary deal that allowed big Uranium to go to Russia, Russian speech....",Trump,Russia
2017-03-28,0,"""...money to Bill, the Hillary Russian """"reset,"""" praise of Russia by Hillary, or Podesta Russian Company. Trump Russia story is a hoax. #MAGA!""",Trump,Russia
2017-03-28,0,Watch @foxandfriends now on Podesta and Russia!,Trump,Russia
